track_genre,definition
British,"British music is a broad category of music that encompasses a wide range of styles, including rock, pop, and electronic music. British music is often characterized by its innovative songwriting and its eclectic mix of influences. Some popular British artists include The Beatles, The Rolling Stones, and David Bowie."
Cantopop,"Cantopop is a genre of popular music that originated in Hong Kong. Cantopop is characterized by its catchy melodies, Cantonese lyrics, and often elaborate stage shows. Some popular Cantopop artists include Jacky Cheung, Aaron Kwok, and Andy Lau."
Chicago-House,"Chicago house is a subgenre of house music that originated in Chicago in the early 1980s. Chicago house music is characterized by its use of four-on-the-floor beats, synthesized basslines, and soulful vocals. Some popular Chicago house artists include Marshall Jefferson, Frankie Knuckles, and Larry Levan."
Children,"Children's music is a broad category of music that is designed for children to listen to and enjoy. Children's music often features simple lyrics, catchy melodies, and educational themes. Some popular children's music artists include Raffi, The Wiggles, and Sesame Street."
Chill,"Chill music is a broad category of music that is designed to be relaxing and calming. Chill music often features slow tempos, ambient sounds, and soothing melodies. Some popular chill music artists include Brian Eno, Aphex Twin, and Steve Roach."
Classical,"Classical music is a broad category of music that encompasses a wide range of styles and genres. Classical music is typically characterized by its complex melodies, harmonies, and rhythms. Some popular classical composers include Bach, Mozart, and Beethoven."
Club,"Club music is a broad category of music that is designed to be played in dance clubs. Club music often features fast tempos, danceable beats, and repetitive melodies. Some popular club music genres include house, techno, and electronic dance music (EDM)."
Comedy,"Comedy music is a genre of music that is designed to be funny. Comedy music often features humorous lyrics, satirical subject matter, and novelty sounds. Some popular comedy music artists include Weird Al Yankovic, Flight of the Conchords, and Monty Python."
Country,"Country music is a genre of American roots music that is characterized by its acoustic instrumentation, simple melodies, and emotional lyrics. Country music often deals with themes of love, loss, and the American way of life. Some popular country artists include Johnny Cash, Willie Nelson, and Dolly Parton."
Dance,"Music designed for dancing, with a strong beat and rhythm. Dance music often features repetitive melodies and catchy hooks. Some popular dance music genres include house, techno, and electronic dance music (EDM)."
Dancehall,"A genre of Jamaican music characterized by energetic rhythms and danceable beats. Dancehall music often features rapping or singing vocals, and it is often associated with reggae music. Some popular dancehall artists include Shaggy, Sean Paul, and Vybz Kartel."
Death-Metal,"An extreme subgenre of heavy metal music with dark and aggressive themes. Death metal music is often characterized by its fast tempos, distorted guitars, and growling vocals. Some popular death metal artists include Cannibal Corpse, Death, and Morbid Angel."
Deep-House,"A style of electronic dance music known for its deep, soulful sound. Deep house music often features slow tempos, soulful vocals, and jazzy influences. Some popular deep house artists include Kerri Chandler, Larry Levan, and Frankie Knuckles."
Detroit-Techno,"A genre of electronic music originating in Detroit, characterized by techno beats. Detroit techno music is often characterized by its minimalist sound and its use of industrial and futuristic soundscapes. Some popular Detroit techno artists include Juan Atkins, Derrick May, and Kevin Saunderson."
Disco,"A dance music style popularized in the 1970s with a focus on rhythm and groove. Disco music is often characterized by its catchy melodies, four-on-the-floor beats, and elaborate string arrangements. Some popular disco artists include ABBA, Bee Gees, and Donna Summer."
Disney,"Music from Disney movies and productions, often family-friendly. Disney music is often characterized by its catchy melodies, heartwarming lyrics, and timeless appeal. Some popular Disney songs include ""Let It Go"" from Frozen, ""A Whole New World"" from Aladdin, and ""Circle of Life"" from The Lion King."
Drum-and-Bass,"A fast-paced electronic music genre with prominent drum and basslines. Drum-and-bass music is often characterized by its complex rhythms and its use of breakbeats. Some popular drum-and-bass artists include The Prodigy, Pendulum, and Noisia."
Dub,"An electronic music style with echoing and reverb effects. Dub music is often characterized by its stripped-down sound and its use of dub plates. Some popular dub artists include Lee Scratch Perry, King Tubby, and Scientist."
Dubstep,"An electronic music genre known for its heavy bass and syncopated rhythms. Dubstep music is often characterized by its dark and atmospheric sound. Some popular dubstep artists include Skrillex, Bassnectar, and Deadmau5."
EDM,"Electronic Dance Music, encompassing various electronic music subgenres, such as house, techno, and trance. EDM music is often characterized by its catchy melodies, energetic beats, and elaborate live shows. Some popular EDM artists include David Guetta, Calvin Harris, and Martin Garrix."
Electro,"An electronic music style with prominent use of synthesizers. Electro music is often characterized by its upbeat tempos and its catchy melodies. Some popular electro artists include Kraftwerk, Daft Punk, and Justice."
Electronic,"A broad category of music made using electronic instruments and technology. Electronic music encompasses a wide range of genres, including house, techno, hip hop, and dancehall. Some popular electronic musicians include Aphex Twin, Brian Eno, and Nine Inch Nails."
Emo,"A subgenre of punk rock known for emotional and introspective lyrics. Emo music is often characterized by its confessional lyrics, distorted guitars, and passionate vocals. Some popular emo bands include My Chemical Romance, Fall Out Boy, and Panic! at the Disco."
Folk,"Traditional and acoustic music often rooted in cultural heritage. Folk music is typically characterized by its simple melodies, harmonies, and rhythms. Folk songs often tell stories about love, loss, and everyday life. Some popular folk artists include Bob Dylan, Joan Baez, and Pete Seeger."
Forro,"A Brazilian music genre, often featuring accordion and danceable rhythms. Forro music is typically characterized by its fast tempos and its use of traditional Brazilian instruments, such as the triangle and zabumba. Forro music is often associated with the Brazilian state of Ceará. Some popular forro artists include Luiz Gonzaga, Dominguinhos, and Elba Ramalho."
French,"Music originating from France, encompassing diverse styles. French music is known for its sophistication and its eclectic mix of influences. Some popular French music genres include chanson, electronic music, and hip hop. Some popular French musicians include Edith Piaf, Daft Punk, and David Guetta."
Funk,"A groovy and rhythmic music style with a strong bassline. Funk music is typically characterized by its syncopated rhythms and its use of soulful vocals. Funk music was pioneered by African-American musicians in the 1960s and 1970s. Some popular funk artists include James Brown, Parliament-Funkadelic, and Sly and the Family Stone."
Garage,"A music style originating from the garage rock movement. Garage rock music is typically characterized by its raw and energetic sound. Garage rock bands often play in small venues, such as garages and clubs. Some popular garage rock bands include The Strokes, The White Stripes, and The Hives."
German,"Music originating from Germany, spanning various genres. German music is known for its classical tradition and its diverse range of contemporary artists. Some popular German music genres include classical, rock, and electronic music. Some popular German musicians include Johann Sebastian Bach, Ludwig van Beethoven, and Kraftwerk."
Gospel,"A Christian music style known for its spiritual themes and choir vocals. Gospel music is typically characterized by its uplifting melodies and its use of traditional Christian hymns. Gospel music is often performed in churches and other religious settings. Some popular gospel artists include Mahalia Jackson, Aretha Franklin, and Kirk Franklin."
Goth,"A subculture-inspired music known for its dark and melancholic themes. Goth music is typically characterized by its heavy guitars, haunting vocals, and gloomy atmosphere. Goth music is often associated with the goth subculture, which is characterized by its dark fashion and aesthetics. Some popular goth bands include Bauhaus, The Cure, and Siouxsie and the Banshees."
Grindcore,"An extreme subgenre of heavy metal with fast and aggressive music. Grindcore music is typically characterized by its blast beats, distorted guitars, and growling vocals. Grindcore bands often play very short songs, some of which can be as short as a few seconds. Some popular grindcore bands include Napalm Death, Brutal Truth, and Repulsion."
Groove,"Music emphasizing a catchy and danceable rhythm. Groove music can be found in many different genres, including funk, soul, and disco. Some popular groove artists include James Brown, Stevie Wonder, and Donna Summer."
Grunge,"An alternative rock subgenre with a raw and gritty sound. Grunge music is typically characterized by its distorted guitars, angst-filled lyrics, and flannel-clad musicians. Grunge music emerged in the Seattle area in the early 1990s, and it quickly became one of the most popular genres of music in the world. Some popular grunge bands include Nirvana, Soundgarden, and Pearl Jam."
Guitar,"Music centered around the guitar as a prominent instrument. Guitar music can be found in many different genres, including rock, blues, and country. Some popular guitar artists include Jimi Hendrix, Eric Clapton, and Keith Richards."
Happy,"Music with uplifting and joyful themes, often used for celebrations. Happy music can be found in many different genres, including pop, rock, and dancehall. Some popular happy songs include ""Happy"" by Pharrell Williams, ""Dancing Queen"" by ABBA, and ""I Will Survive"" by Gloria Gaynor."
Hard-Rock,"Rock music known for its heavy sound and guitar-driven melodies. Hard rock music is typically characterized by its distorted guitars, powerful vocals, and driving beats. Some popular hard rock bands include AC/DC, Led Zeppelin, and Guns N' Roses."
Hardcore,"Aggressive and intense subgenre of punk rock. Hardcore punk music is typically characterized by its fast tempos, shouted vocals, and heavy guitars. Hardcore punk bands often play in small venues, such as clubs and squats. Some popular hardcore punk bands include Black Flag, Bad Brains,"
Hardstyle,"An electronic dance music genre with hard-hitting beats and distorted kicks. Hardstyle music is typically characterized by its aggressive sound, energetic melodies, and passionate fan base. Some popular hardstyle artists include Headhunterz, Showtek, and Angerfist."
Heavy-Metal,"A rock subgenre with powerful guitar riffs, energetic vocals, and complex rhythms. Heavy metal music is typically characterized by its distorted guitars, driving drums, and soaring vocals. Some popular heavy metal bands include Black Sabbath, Iron Maiden, and Metallica."
Hip-Hop,"An urban music style known for its rhythmic speech, catchy beats, and cultural significance. Hip hop music is typically characterized by its rapping vocals, funky beats, and streetwise lyrics. Some popular hip hop artists include Jay-Z, Kanye West, and Kendrick Lamar."
Honky-Tonk,"A country music subgenre with a honky-tonk piano sound and upbeat tempos. Honky-tonk music is typically characterized by its simple melodies, catchy lyrics, and down-home charm. Some popular honky-tonk artists include Hank Williams, Johnny Cash, and Patsy Cline."
House,"An electronic dance music style with a four-on-the-floor beat and catchy melodies. House music is typically characterized by its driving beats, uplifting melodies, and repetitive rhythms. Some popular house artists include David Guetta, Calvin Harris, and Martin Garrix."
IDM,"Intelligent Dance Music, characterized by experimental electronic sounds. IDM music is often complex and challenging, and it often incorporates elements of other genres, such as ambient, classical, and jazz. Some popular IDM artists include Aphex Twin, Boards of Canada, and Squarepusher."
Indian,"Music from India, including classical, folk, and contemporary styles. Indian music is known for its rich and diverse tradition, and it encompasses a wide range of styles and genres. Some popular Indian music genres include Hindustani classical music, Carnatic classical music, and Bollywood music. Some popular Indian musicians include Ravi Shankar, Ali Akbar Khan, and Lata Mangeshkar."
Indie-Pop,"Independent music spanning various genres and styles. Indie music is typically characterized by its independent production and distribution, and it encompasses a wide range of genres, including rock, pop, and electronic music. Some popular indie artists include Radiohead, Björk, and Arcade Fire."
Indie,"Independent pop music often with a DIY ethos. Indie pop music is typically characterized by its catchy melodies, simple arrangements, and independent production. Some popular indie pop artists include The Smiths, R.E.M., and Belle and Sebastian."
Industrial,"Music characterized by mechanical and harsh sounds. Industrial music often incorporates elements of noise music, electronic music, and heavy metal. Some popular industrial bands include Nine Inch Nails, Ministry, and Throbbing Gristle."
Iranian,"Music from Iran, encompassing traditional and contemporary styles. Iranian music is known for its rich and diverse tradition, and it encompasses a wide range of styles and genres, including Persian classical music, folk music, and pop music. Some popular Iranian musicians include Alireza Eftekhari, Hossein Alizadeh, and Sattar."
J-Dance,"Japanese dance music styles, including J-Pop and J-Hip-Hop. J-dance music is typically characterized by its catchy melodies, energetic rhythms, and elaborate stage shows. Some popular J-dance artists include Ayumi Hamasaki, Namie Amuro, and Exile."
J-Idol,"Japanese idol music, featuring young performers and catchy tunes. J-idol music is typically characterized by its upbeat melodies, synchronized dancing, and cute and colorful visuals. Some popular J-idol groups include AKB48, Nogizaka46, and Arashi."
J-Pop,"Japanese pop music with a wide range of styles. J-pop music is known for its catchy melodies, elaborate music videos, and diverse range of artists. Some popular J-pop artists include Hikaru Utada, Kenshi Yonezu, and LiSA."
J-Rock,"Japanese rock music, known for its energetic performances. J-rock music is typically characterized by its distorted guitars, powerful vocals, and passionate fans. Some popular J-rock bands include L'Arc-en-Ciel, X Japan, and One Ok Rock."
Jazz,"American music genre with improvisation and complex rhythms. Jazz music is typically characterized by its improvisational nature, complex harmonies, and syncopated rhythms. Some popular jazz artists include Miles Davis, Duke Ellington, and John Coltrane."
K-Pop,"Korean pop music, often featuring colorful visuals and choreography. K-pop music is typically characterized by its catchy melodies, energetic dance routines, and elaborate stage shows. Some popular K-pop groups include BTS, Blackpink, and TWICE."
Kids,"Music created specifically for children's enjoyment. Kids' music is typically characterized by its simple melodies, repetitive lyrics, and educational themes. Some popular kids' music artists include Raffi, The Wiggles, and Sesame Street."
Latin,"Music from Latin America, encompassing diverse styles like salsa, cumbia, and more. Latin music is known for its rhythmic beats, catchy melodies, and passionate performances. Some popular Latin music genres include salsa, cumbia, and reggaeton. Some popular Latin music artists include Celia Cruz, Rubén Blades, and J Balvin."
Latino,"Music with Latin American influences, often with a modern twist. Latino music can encompass a wide range of styles, including pop, rock, and hip hop. Some popular Latino artists include Shakira, Ricky Martin, and Jennifer Lopez."
Malay,"Music from Malaysia, reflecting cultural diversity. Malay music is known for its diverse influences, including Malay, Chinese, Indian, and Western music. Some popular Malay music genres include dangdut, pop, and rock. Some popular Malay artists include Siti Nurhaliza, Ziana Zain, and Sheila Majid."
Mandopop,"Mandarin pop music popular in Chinese-speaking regions. Mandopop music is typically characterized by its catchy melodies, simple lyrics, and upbeat tempos. Some popular Mandopop artists include Jay Chou, Faye Wong, and"
Metal,"Broad genre encompassing various subgenres of heavy metal, characterized by heavy electric guitars, distortion, and loud vocals. Heavy electric guitars, distortion, loud vocals, complex drumming, and often dark and aggressive lyrics."
Metalcore,"Fusion of metal and hardcore punk, characterized by aggressive vocals, heavy breakdowns, and melodic choruses. Heavy breakdowns, melodic choruses, aggressive vocals, and a mix of metal and hardcore punk influences."
Minimal-Techno,"Electronic music style known for its minimalistic and repetitive beats, often with a focus on atmosphere and texture."
MPB,"Música Popular Brasileira, Brazilian popular music with diverse influences, including samba, bossa nova, MPB, and rock. Diverse influences from Brazilian and international music, often with a focus on melody, harmony, and rhythm."
New-Age,"Music known for its relaxing and spiritual qualities. New-age music often features elements of nature, such as ocean waves and bird songs, as well as electronic synthesizers and other effects."
Opera,"Classical music style featuring vocal performances and storytelling. Operas are typically divided into acts and scenes, and they often feature elaborate costumes and sets. Some popular operas include La Traviata, Carmen, and Aida."
Pagode,"Brazilian music genre, often associated with samba and social gatherings. Pagode music is typically characterized by its upbeat tempos, catchy melodies, and simple lyrics. Some popular pagode artists include Zeca Pagodinho, Arlindo Cruz, and Grupo Revelação."
Party,"Music designed for parties and celebrations. Party music typically features upbeat tempos, catchy melodies, and danceable beats. Some popular party music genres include dancehall, pop, and hip hop."
Piano,"Music prominently featuring the piano as a solo instrument. Piano music can encompass a wide range of styles, including classical, jazz, and pop. Some popular piano artists include Ludovico Einaudi, Yiruma, and Keith Jarrett."
Pop-Film,"Popular music genre with catchy melodies and broad appeal. Pop music is often characterized by its simple lyrics, repetitive hooks, and danceable beats. Some popular pop artists include Adele, Beyoncé, and Taylor Swift."
Pop,"Music from or inspired by films and movie soundtracks. Pop-film music often features catchy melodies, uplifting themes, and popular artists. Some popular pop-film songs include ""I Will Always Love You"" from The Bodyguard, ""My Heart Will Go On"" from Titanic, and ""Let It Go"" from Frozen."
Power-Pop,"Rock music style known for its melodic hooks. Power pop music is typically characterized by its catchy melodies, distorted guitars, and energetic vocals. Some popular power pop bands include The Ramones, Cheap Trick, and The Beach Boys."
Progressive-House,"Electronic dance music genre with evolving and complex compositions. Progressive house music is typically characterized by its building soundscapes, melodic breakdowns, and intricate rhythms. Some popular progressive house artists include Deadmau5, Eric Prydz, and Above & Beyond."
Psych-Rock,"Psychedelic rock known for its experimental and mind-altering sound. Psych rock music is typically characterized by its use of effects pedals, distorted guitars, and Eastern influences. Some popular psych rock bands include Pink Floyd, The Jimi Hendrix Experience, and The Doors."
Punk-Rock,"Music known for its raw and DIY ethos. Punk music typically features simple instrumentation, energetic performances, and rebellious themes. Some popular punk bands include The Ramones, Bad Brains, and Black Flag."
Punk,"High-energy rock subgenre with rebellious themes. Punk rock music is typically characterized by its fast tempos, simple chords, and shouted vocals. Some popular punk rock bands include The Ramones, The Sex Pistols, and The Clash."
R-n-B,"Rhythm and blues, a genre blending soul and pop elements. R&B music is typically characterized by its soulful vocals, funky rhythms, and catchy melodies. Some popular R&B artists include Beyoncé, Whitney Houston, and Usher."
Reggae,"Jamaican music known for its distinctive rhythms and positive vibes. Reggae music is typically characterized by its one-drop beat, catchy melodies, and Rastafarian themes. Some popular reggae artists include Bob Marley, Peter Tosh, and Jimmy Cliff."
Reggaeton,"Latin music genre with influences from reggae and hip-hop. Reggaeton music is typically characterized by its danceable beats, catchy melodies, and Spanish lyrics. Some popular reggaeton artists include Daddy Yankee, J Balvin, and Maluma."
Rock-n-Roll,"Broad genre encompassing various styles of rock music. Rock music is typically characterized by its use of electric guitars, basses, and drums. Some popular rock subgenres include hard rock, heavy metal, and punk rock."
Rock,"Energetic rock music style with roots in rhythm and blues. Rock-and-roll music is typically characterized by its simple chords, distorted guitars, and catchy melodies. Some popular rock-and-roll artists include Elvis Presley, Chuck Berry, and Little Richard."
Rockabilly,"Rock music style with a strong rock-and-roll and country influence. Rockabilly music is typically characterized by its upbeat tempos, catchy melodies, and simple lyrics. Some popular rockabilly artists include Johnny Cash, Carl Perkins, and Elvis Presley."
Romance,"Music often featuring romantic themes and melodies. Romance music can encompass a wide range of styles, including classical, pop, and jazz. Some popular romance music artists include Frank Sinatra, Celine Dion, and John Legend."
Sad,"Music with melancholic and emotional themes. Sad music often features slow tempos, minor keys, and lyrics about loss, heartbreak, and other difficult emotions. Some popular sad songs include ""Someone Like You"" by Adele, ""Tears in Heaven"" by Eric Clapton, and ""Hallelujah"" by Leonard Cohen."
Salsa,"Latin music style known for its lively rhythms and danceability. Salsa music is typically characterized by its complex rhythms, driving beats, and passionate vocals. Some popular salsa artists include Celia Cruz, Rubén Blades, and Marc Anthony."
Samba,"Brazilian music genre with infectious rhythms and dance. Samba music is typically characterized by its fast tempos, syncopated beats, and call-and-response vocals. Some popular samba artists include Cartola, Beth Carvalho, and Zeca Pagodinho."
Sertanejo,"Brazilian country music, often featuring duets and storytelling. Sertanejo music is typically characterized by its romantic lyrics, acoustic instrumentation, and heartfelt vocals. Some popular sertanejo artists include Chitãozinho & Xororó, Jorge & Mateus, and Gusttavo Lima."
Show-Tunes,"Music from musicals and Broadway shows. Show tunes are typically characterized by their catchy melodies, elaborate arrangements, and Broadway-style vocals. Some popular show tunes include ""Defying Gravity"" from Wicked, ""One Day More"" from Les Misérables, and ""A Whole New World"" from Aladdin."
Singer-Songwriter,"Music often characterized by personal lyrics and acoustic instrumentation. Singer-songwriter music is typically performed by the artist who wrote the songs, and it often features acoustic instruments such as guitar and piano. Some popular singer-songwriter artists include Bob Dylan, Joan Baez, and Taylor Swift."
Ska,"Music genre with upbeat rhythms and horn sections. Ska music is typically characterized by its fast tempos, driving beats, and prominent horn sections. Some popular ska bands include The Specials, Madness, and No Doubt."
Sleep,"Relaxing and calming music designed to aid sleep. Sleep music often features slow tempos, ambient sounds, and nature recordings. Some popular sleep music artists include Enya, Brian Eno, and Steven Halpern."
Songwriter,"Music often characterized by meaningful and poetic lyrics. Songwriters are the people who write songs, and they can come from a variety of musical genres. Some popular songwriters include Paul McCartney, Elton John, and Joni Mitchell."
Soul,"Music genre known for its expressive vocals and emotional depth. Soul music is typically characterized by its soulful vocals, funky rhythms, and gospel influences. Some popular soul artists include Aretha Franklin, James Brown, and Marvin Gaye."
Spanish,"Music originating from Spain, encompassing various styles. Spanish music is known for its diverse influences, including flamenco, pop, and rock. Some popular Spanish artists include Enrique Iglesias, Alejandro Sanz, and Rosalía."
Study,"Music designed to aid concentration and studying. Study music is typically characterized by its slow tempos, calm melodies, and minimal vocals. Some popular study music artists include Ludovico Einaudi, Yiruma, and Brian Eno."
Swedish,"Music originating from Sweden, spanning diverse genres. Swedish music is known for its diverse range of artists, from ABBA to Avicii to Robyn. Some popular Swedish artists include ABBA, Avicii, and Robyn."
Synth-Pop,"Electronic pop music featuring synthesizers. Synth pop music is typically characterized by its catchy melodies, electronic beats, and retro sound. Some popular synth pop artists include Depeche Mode, New Order, and The Human League."
Tango,"Argentine music genre known for its passionate dance. Tango music is typically characterized by its dramatic melodies, syncopated rhythms, and passionate vocals. Some popular tango artists include Carlos Gardel, Ástor Piazzolla, and Gotan Project."
Techno,"Electronic dance music style with repetitive beats and synths. Techno music is typically characterized by its four-on-the-floor beat, driving bassline, and hypnotic melodies. Some popular techno artists include Aphex Twin, Jeff Mills, and Juan Atkins."
Trance,"Electronic music genre known for its hypnotic and euphoric sound. Trance music is typically characterized by its repetitive beats, uplifting melodies, and atmospheric soundscapes. Some popular trance artists include Armin van Buuren, Tiesto, and Above & Beyond."
Trip-Hop,"Electronic music genre with downtempo beats and atmospheric sounds. Trip hop music is typically characterized by its slow tempos, jazzy influences, and soulful vocals. Some popular trip hop artists include Portishead, Massive Attack, and Tricky."
Turkish,"Music originating from Turkey, reflecting cultural diversity. Turkish music is known for its diverse influences, including Turkish folk music, pop, and classical music. Some popular Turkish artists include Tarkan, Sezen Aksu, and Ahmet Kaya."
World-music,"World music blends diverse global styles, instruments, and stories, fostering cultural fusion and social commentary while promoting cross-cultural understanding."




